web-scraper-order,web-scraper-start-url,URL,URL-href,abstracts,citations
"1707304119-11","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2019&page=45","The surprisingly large neutron capture cross-section of 88Zr","https://www.nature.com/articles/s41586-018-0838-z","The probability that a nucleus will absorb a neutron—the neutron capture cross-section—is important to many areas of nuclear science, including stellar nucleosynthesis, reactor performance, nuclear medicine and defence applications. Although neutron capture cross-sections have been measured for most stable nuclei, fewer results exist for radioactive isotopes, and statistical-model predictions typically have large uncertainties1. There are almost no nuclear data for neutron-induced reactions of the radioactive nucleus 88Zr, despite its importance as a diagnostic for nuclear security. Here, by exposing 88Zr to the intense neutron flux of a nuclear reactor, we determine that 88Zr has a thermal neutron capture cross-section of 861,000 ± 69,000 barns (1σ uncertainty), which is five orders of magnitude larger than the theoretically predicted value of 10 barns2. This is the second-largest thermal neutron capture cross-section ever measured and no other cross-section of comparable size has been discovered in the past 70 years. The only other nuclei known to have values greater than 105 barns3,4,5,6 are 135Xe (2.6 × 106 barns), a fission product that was first discovered as a poison in early reactors7,8, and 157Gd (2.5 × 105 barns), which is used as a detector material9,10, a burnable reactor poison11 and a potential medical neutron capture therapy agent12. In the case of 88Zr neutron capture, both the target and the product (89Zr) nuclei are radioactive and emit intense γ-rays upon decay, allowing sensitive detection of miniscule quantities of these radionuclides. This result suggests that as additional measurements with radioactive isotopes become feasible with the operation of new nuclear-science facilities, further surprises may be uncovered, with far-reaching implications for our understanding of neutron capture reactions.","24 Citations"
"1707304124-12","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2019&page=45","Disruption of the Orion molecular core 1 by wind from the massive star θ1 Orionis C","https://www.nature.com/articles/s41586-018-0844-1","Massive stars inject mechanical and radiative energy into the surrounding environment, which stirs it up, heats the gas, produces cloud and intercloud phases in the interstellar medium, and disrupts molecular clouds (the birth sites of new stars1,2). Stellar winds, supernova explosions and ionization by ultraviolet photons control the lifetimes of molecular clouds3,4,5,6,7. Theoretical studies predict that momentum injection by radiation should dominate that by stellar winds8, but this has been difficult to assess observationally. Velocity-resolved large-scale images in the fine-structure line of ionized carbon ([C ii]) provide an observational diagnostic for the radiative energy input and the dynamics of the interstellar medium around massive stars. Here we report observations of a one-square-degree region (about 7 parsecs in diameter) of Orion molecular core 1—the region nearest to Earth that exhibits massive-star formation—at a resolution of 16 arcseconds (0.03 parsecs) in the [C ii] line at 1.9 terahertz (158 micrometres). The results reveal that the stellar wind originating from the massive star θ1 Orionis C has swept up the surrounding material to create a ‘bubble’ roughly four parsecs in diameter with a 2,600-solar-mass shell, which is expanding at 13 kilometres per second. This finding demonstrates that the mechanical energy from the stellar wind is converted very efficiently into kinetic energy of the shell and causes more disruption of the Orion molecular core 1 than do photo-ionization and evaporation or future supernova explosions.","77 Citations"
"1707304129-13","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2019&page=45","A second source of repeating fast radio bursts","https://www.nature.com/articles/s41586-018-0864-x","The discovery of a repeating fast radio burst (FRB) source1,2, FRB 121102, eliminated models involving cataclysmic events for this source. No other repeating FRB has hitherto been detected despite many recent discoveries and follow-ups3,4,5, suggesting that repeaters may be rare in the FRB population. Here we report the detection of six repeat bursts from FRB 180814.J0422+73, one of the 13 FRBs detected6 by the Canadian Hydrogen Intensity Mapping Experiment (CHIME) FRB project7 during its pre-commissioning phase in July and August 2018. These repeat bursts are consistent with its origin from a single position on the sky, with the same dispersion measure, about 189 parsecs per cubic centimetre. This line of sight traces approximately twice the expected Milky Way column density of free electrons, which implies an upper limit on the source redshift of 0.1, showing it to be closer to Earth by a factor of at least 2 than FRB 1211028. In some of the repeat bursts, we observe subpulse frequency structure, drifting and spectral variation reminiscent of that seen in FRB 1211029,10, suggesting similar emission mechanisms or propagation effects. This second repeater, found among the first few CHIME/FRB discoveries, suggests that there exists—and that CHIME/FRB and other wide-field, sensitive radio telescopes will find—a substantial population of repeating FRBs.","257 Citations"
"1707304151-14","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2019&page=45","Electromagnetic and gravitational responses of photonic Landau levels","https://www.nature.com/articles/s41586-018-0817-4","Topology has recently become a focus in condensed matter physics, arising in the context of the quantum Hall effect and topological insulators. In both of these cases, the topology of the system is defined through bulk properties (‘topological invariants’) but detected through surface properties. Here we measure three topological invariants of a quantum Hall material—photonic Landau levels in curved space—through local electromagnetic and gravitational responses of the bulk material. Viewing the material as a many-port circulator, the Chern number (a topological invariant) manifests as spatial winding of the phase of the circulator. The accumulation of particles near points of high spatial curvature and the moment of inertia of the resultant particle density distribution quantify two additional topological invariants—the mean orbital spin and the chiral central charge. We find that these invariants converge to their global values when probed over increasing length scales (several magnetic lengths), consistent with the intuition that the bulk and edges of a system are distinguishable only for sufficiently large samples (larger than roughly one magnetic length). Our experiments are enabled by applying quantum optics tools to synthetic topological matter (here twisted optical resonators). Combined with advances in Rydberg-mediated photon collisions, our work will enable precision characterization of topological matter in photon fluids.","36 Citations"
"1707304164-15","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2019&page=45","Structures of an RNA polymerase promoter melting intermediate elucidate DNA unwinding","https://www.nature.com/articles/s41586-018-0840-5","A key regulated step of transcription is promoter melting by RNA polymerase (RNAP) to form the open promoter complex1,2,3. To generate the open complex, the conserved catalytic core of the RNAP combines with initiation factors to locate promoter DNA, unwind 12–14 base pairs of the DNA duplex and load the template-strand DNA into the RNAP active site. Formation of the open complex is a multi-step process during which transient intermediates of unknown structure are formed4,5,6. Here we present cryo-electron microscopy structures of bacterial RNAP–promoter DNA complexes, including structures of partially melted intermediates. The structures show that late steps of promoter melting occur within the RNAP cleft, delineate key roles for fork-loop 2 and switch 2—universal structural features of RNAP—in restricting access of DNA to the RNAP active site, and explain why clamp opening is required to allow entry of single-stranded template DNA into the active site. The key roles of fork-loop 2 and switch 2 suggest a common mechanism for late steps in promoter DNA opening to enable gene expression across all domains of life.","63 Citations"
"1707304172-16","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2019&page=45","Realization of a three-dimensional photonic topological insulator","https://www.nature.com/articles/s41586-018-0829-0","Confining photons in a finite volume is highly desirable in modern photonic devices, such as waveguides, lasers and cavities. Decades ago, this motivated the study and application of photonic crystals, which have a photonic bandgap that forbids light propagation in all directions1,2,3. Recently, inspired by the discoveries of topological insulators4,5, the confinement of photons with topological protection has been demonstrated in two-dimensional (2D) photonic structures known as photonic topological insulators6,7,8, with promising applications in topological lasers9,10 and robust optical delay lines11. However, a fully three-dimensional (3D) topological photonic bandgap has not been achieved. Here we experimentally demonstrate a 3D photonic topological insulator with an extremely wide (more than 25 per cent bandwidth) 3D topological bandgap. The composite material (metallic patterns on printed circuit boards) consists of split-ring resonators (classical electromagnetic artificial atoms) with strong magneto-electric coupling and behaves like a ‘weak’ topological insulator (that is, with an even number of surface Dirac cones), or a stack of 2D quantum spin Hall insulators. Using direct field measurements, we map out both the gapped bulk band structure and the Dirac-like dispersion of the photonic surface states, and demonstrate robust photonic propagation along a non-planar surface. Our work extends the family of 3D topological insulators from fermions to bosons and paves the way for applications in topological photonic cavities, circuits and lasers in 3D geometries.","247 Citations"
"1707304177-17","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2019&page=45","Calicivirus VP2 forms a portal-like assembly following receptor engagement","https://www.nature.com/articles/s41586-018-0852-1","To initiate infection, many viruses enter their host cells by triggering endocytosis following receptor engagement. However, the mechanisms by which non-enveloped viruses escape the endosome are poorly understood. Here we present near-atomic-resolution cryo-electron microscopy structures for feline calicivirus both undecorated and labelled with a soluble fragment of its cellular receptor, feline junctional adhesion molecule A. We show that VP2, a minor capsid protein encoded by all caliciviruses1,2, forms a large portal-like assembly at a unique three-fold axis of symmetry, following receptor engagement. This assembly—which was not detected in undecorated virions—is formed of twelve copies of VP2, arranged with their hydrophobic N termini pointing away from the virion surface. Local rearrangement at the portal site leads to the opening of a pore in the capsid shell. We hypothesize that the portal-like assembly functions as a channel for the delivery of the calicivirus genome, through the endosomal membrane, into the cytoplasm of a host cell, thereby initiating infection. VP2 was previously known to be critical for the production of infectious virus3; our findings provide insights into its structure and function that advance our understanding of the Caliciviridae.","80 Citations"
"1707304183-18","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2019&page=45","LHX2- and LDB1-mediated trans interactions regulate olfactory receptor choice","https://www.nature.com/articles/s41586-018-0845-0","The genome is partitioned into topologically associated domains and genomic compartments with shared chromatin valence. This architecture is constrained by the DNA polymer, which precludes interactions between genes on different chromosomes. Here we report a marked divergence from this pattern of nuclear organization that occurs in mouse olfactory sensory neurons. Chromatin conformation capture using in situ Hi-C on fluorescence-activated cell-sorted olfactory sensory neurons and their progenitors shows that olfactory receptor gene clusters from 18 chromosomes make specific and robust interchromosomal contacts that increase with differentiation of the cells. These contacts are orchestrated by intergenic olfactory receptor enhancers, the ‘Greek islands’, which first contribute to the formation of olfactory receptor compartments and then form a multi-chromosomal super-enhancer that associates with the single active olfactory receptor gene. The Greek-island-bound transcription factor LHX2 and adaptor protein LDB1 regulate the assembly and maintenance of olfactory receptor compartments, Greek island hubs and olfactory receptor transcription, providing mechanistic insights into and functional support for the role of trans interactions in gene expression.","166 Citations"
"1707304193-19","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2019&page=44","Observations of fast radio bursts at frequencies down to 400 megahertz","https://www.nature.com/articles/s41586-018-0867-7","Fast radio bursts (FRBs) are highly dispersed millisecond-duration radio flashes probably arriving from far outside the Milky Way1,2. This phenomenon was discovered at radio frequencies near 1.4 gigahertz and so far has been observed in one case3 at as high as 8 gigahertz, but not at below 700 megahertz in spite of substantial searches at low frequencies4,5,6,7. Here we report detections of 13 FRBs at radio frequencies as low as 400 megahertz, on the Canadian Hydrogen Intensity Mapping Experiment (CHIME) using the CHIME/FRB instrument8. They were detected during a telescope pre-commissioning phase, when the sensitivity and field of view were not yet at design specifications. Emission in multiple events is seen down to 400 megahertz, the lowest radio frequency to which the telescope is sensitive. The FRBs show various temporal scattering behaviours, with the majority detectably scattered, and some apparently unscattered to within measurement uncertainty even at our lowest frequencies. Of the 13 reported here, one event has the lowest dispersion measure yet reported, implying that it is among the closest yet known, and another has shown multiple repeat bursts, as described in a companion paper9. The overall scattering properties of our sample suggest that FRBs as a class are preferentially located in environments that scatter radio waves more strongly than in the diffuse interstellar medium in the Milky Way.","162 Citations"
"1707304198-20","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2019&page=44","De novo design of potent and selective mimics of IL-2 and IL-15","https://www.nature.com/articles/s41586-018-0830-7","We describe a de novo computational approach for designing proteins that recapitulate the binding sites of natural cytokines, but are otherwise unrelated in topology or amino acid sequence. We use this strategy to design mimics of the central immune cytokine interleukin-2 (IL-2) that bind to the IL-2 receptor βγc heterodimer (IL-2Rβγc) but have no binding site for IL-2Rα (also called CD25) or IL-15Rα (also known as CD215). The designs are hyper-stable, bind human and mouse IL-2Rβγc with higher affinity than the natural cytokines, and elicit downstream cell signalling independently of IL-2Rα and IL-15Rα. Crystal structures of the optimized design neoleukin-2/15 (Neo-2/15), both alone and in complex with IL-2Rβγc, are very similar to the designed model. Neo-2/15 has superior therapeutic activity to IL-2 in mouse models of melanoma and colon cancer, with reduced toxicity and undetectable immunogenicity. Our strategy for building hyper-stable de novo mimetics could be applied generally to signalling proteins, enabling the creation of superior therapeutic candidates.","289 Citations"
"1707304204-21","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2019&page=44","Subcellular transcriptomes and proteomes of developing axon projections in the cerebral cortex","https://www.nature.com/articles/s41586-018-0847-y","The development of neural circuits relies on axon projections establishing diverse, yet well-defined, connections between areas of the nervous system. Each projection is formed by growth cones—subcellular specializations at the tips of growing axons, encompassing sets of molecules that control projection-specific growth, guidance, and target selection1. To investigate the set of molecules within native growth cones that form specific connections, here we developed growth cone sorting and subcellular RNA–proteome mapping, an approach that identifies and quantifies local transcriptomes and proteomes from labelled growth cones of single projections in vivo. Using this approach on the developing callosal projection of the mouse cerebral cortex, we mapped molecular enrichments in trans-hemispheric growth cones relative to their parent cell bodies, producing paired subcellular proteomes and transcriptomes from single neuron subtypes directly from the brain. These data provide generalizable proof-of-principle for this approach, and reveal molecular specializations of the growth cone, including accumulations of the growth-regulating kinase mTOR2, together with mRNAs that contain mTOR-dependent motifs3,4. These findings illuminate the relationships between subcellular distributions of RNA and protein in developing projection neurons, and provide a systems-level approach for the discovery of subtype- and stage-specific molecular substrates of circuit wiring, miswiring, and the potential for regeneration.","94 Citations"
"1707304209-22","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2019&page=44","The corona contracts in a black-hole transient","https://www.nature.com/articles/s41586-018-0803-x","The geometry of the accretion flow around stellar-mass black holes can change on timescales of days to months1,2,3. When a black hole emerges from quiescence (that is, it ‘turns on’ after accreting material from its companion) it has a very hard (high-energy) X-ray spectrum produced by a hot corona4,5 positioned above its accretion disk, and then transitions to a soft (lower-energy) spectrum dominated by emission from the geometrically thin accretion disk, which extends to the innermost stable circular orbit6,7. Much debate persists over how this transition occurs and whether it is driven largely by a reduction in the truncation radius of the disk8,9 or by a reduction in the spatial extent of the corona10,11. Observations of X-ray reverberation lags in supermassive black-hole systems12,13 suggest that the corona is compact and that the disk extends nearly to the central black hole14,15. Observations of stellar-mass black holes, however, reveal equivalent (mass-scaled) reverberation lags that are much larger16, leading to the suggestion that the accretion disk in the hard-X-ray state of stellar-mass black holes is truncated at a few hundreds of gravitational radii from the black hole17,18. Here we report X-ray observations of the black-hole transient MAXI J1820+07019,20. We find that the reverberation time lags between the continuum-emitting corona and the irradiated accretion disk are 6 to 20 times shorter than previously seen. The timescale of the reverberation lags shortens by an order of magnitude over a period of weeks, whereas the shape of the broadened iron K emission line remains remarkably constant. This suggests a reduction in the spatial extent of the corona, rather than a change in the inner edge of the accretion disk.","156 Citations"
