web-scraper-order,web-scraper-start-url,URL,URL-href,abstract,Citations
"1707258416-11","https://www.nature.com/nature/research-articles?year=2016&page=45","Slab melting as a barrier to deep carbon subduction","https://www.nature.com/articles/nature16174","Interactions between crustal and mantle reservoirs dominate the surface inventory of volatile elements over geological time, moderating atmospheric composition and maintaining a life-supporting planet1. While volcanoes expel volatile components into surface reservoirs, subduction of oceanic crust is responsible for replenishment of mantle reservoirs2,3. Many natural, ‘superdeep’ diamonds originating in the deep upper mantle and transition zone host mineral inclusions, indicating an affinity to subducted oceanic crust4,5,6,7. Here we show that the majority of slab geotherms will intersect a deep depression along the melting curve of carbonated oceanic crust at depths of approximately 300 to 700 kilometres, creating a barrier to direct carbonate recycling into the deep mantle. Low-degree partial melts are alkaline carbonatites that are highly reactive with reduced ambient mantle, producing diamond. Many inclusions in superdeep diamonds are best explained by carbonate melt–peridotite reaction. A deep carbon barrier may dominate the recycling of carbon in the mantle and contribute to chemical and isotopic heterogeneity of the mantle reservoir.","304 Citations"
"1707258419-12","https://www.nature.com/nature/research-articles?year=2016&page=45","High-fidelity CRISPR–Cas9 nucleases with no detectable genome-wide off-target effects","https://www.nature.com/articles/nature16526","","1674 Citations"
"1707258423-13","https://www.nature.com/nature/research-articles?year=2016&page=45","Crystal structure of a DNA catalyst","https://www.nature.com/articles/nature16471","Catalysis in biology is restricted to RNA (ribozymes) and protein enzymes, but synthetic biomolecular catalysts can also be made of DNA (deoxyribozymes)1 or synthetic genetic polymers2. In vitro selection from synthetic random DNA libraries identified DNA catalysts for various chemical reactions beyond RNA backbone cleavage3. DNA-catalysed reactions include RNA and DNA ligation in various topologies4,5, hydrolytic cleavage6,7 and photorepair of DNA8, as well as reactions of peptides9,10 and small molecules11,12. In spite of comprehensive biochemical studies of DNA catalysts for two decades, fundamental mechanistic understanding of their function is lacking in the absence of three-dimensional models at atomic resolution. Early attempts to solve the crystal structure of an RNA-cleaving deoxyribozyme resulted in a catalytically irrelevant nucleic acid fold13. Here we report the crystal structure of the RNA-ligating deoxyribozyme 9DB1 (ref. 14) at 2.8 Å resolution. The structure captures the ligation reaction in the post-catalytic state, revealing a compact folding unit stabilized by numerous tertiary interactions, and an unanticipated organization of the catalytic centre. Structure-guided mutagenesis provided insights into the basis for regioselectivity of the ligation reaction and allowed remarkable manipulation of substrate recognition and reaction rate. Moreover, the structure highlights how the specific properties of deoxyribose are reflected in the backbone conformation of the DNA catalyst, in support of its intricate three-dimensional organization. The structural principles underlying the catalytic ability of DNA elucidate differences and similarities in DNA versus RNA catalysts, which is relevant for comprehending the privileged position of folded RNA in the prebiotic world and in current organisms.","104 Citations"
"1707258427-14","https://www.nature.com/nature/research-articles?year=2016&page=45","Influence of extreme weather disasters on global crop production","https://www.nature.com/articles/nature16467","In recent years, several extreme weather disasters have partially or completely damaged regional crop production1,2,3,4,5. While detailed regional accounts of the effects of extreme weather disasters exist, the global scale effects of droughts, floods and extreme temperature on crop production are yet to be quantified. Here we estimate for the first time, to our knowledge, national cereal production losses across the globe resulting from reported extreme weather disasters during 1964–2007. We show that droughts and extreme heat significantly reduced national cereal production by 9–10%, whereas our analysis could not identify an effect from floods and extreme cold in the national data. Analysing the underlying processes, we find that production losses due to droughts were associated with a reduction in both harvested area and yields, whereas extreme heat mainly decreased cereal yields. Furthermore, the results highlight ~7% greater production damage from more recent droughts and 8–11% more damage in developed countries than in developing ones. Our findings may help to guide agricultural priorities in international disaster risk reduction and adaptation efforts.","1640 Citations"
"1707258430-15","https://www.nature.com/nature/research-articles?year=2016&page=45","Partially oxidized atomic cobalt layers for carbon dioxide electroreduction to liquid fuel","https://www.nature.com/articles/nature16455","Electroreduction of CO2 into useful fuels, especially if driven by renewable energy, represents a potentially ‘clean’ strategy for replacing fossil feedstocks and dealing with increasing CO2 emissions and their adverse effects on climate1,2,3,4. The critical bottleneck lies in activating CO2 into the CO2•− radical anion or other intermediates that can be converted further, as the activation usually requires impractically high overpotentials. Recently, electrocatalysts based on oxide-derived metal nanostructures have been shown5,6,7,8 to enable CO2 reduction at low overpotentials. However, it remains unclear how the electrocatalytic activity of these metals is influenced by their native oxides, mainly because microstructural features such as interfaces and defects9 influence CO2 reduction activity yet are difficult to control. To evaluate the role of the two different catalytic sites, here we fabricate two kinds of four-atom-thick layers: pure cobalt metal, and co-existing domains of cobalt metal and cobalt oxide. Cobalt mainly produces formate (HCOO−) during CO2 electroreduction; we find that surface cobalt atoms of the atomically thin layers have higher intrinsic activity and selectivity towards formate production, at lower overpotentials, than do surface cobalt atoms on bulk samples. Partial oxidation of the atomic layers further increases their intrinsic activity, allowing us to realize stable current densities of about 10 milliamperes per square centimetre over 40 hours, with approximately 90 per cent formate selectivity at an overpotential of only 0.24 volts, which outperforms previously reported metal or metal oxide electrodes evaluated under comparable conditions1,2,6,7,10. The correct morphology and oxidation state can thus transform a material from one considered nearly non-catalytic for the CO2 electroreduction reaction into an active catalyst. These findings point to new opportunities for manipulating and improving the CO2 electroreduction properties of metal systems, especially once the influence of both the atomic-scale structure and the presence of oxide are mechanistically better understood.","1425 Citations"
"1707258434-16","https://www.nature.com/nature/research-articles?year=2016&page=45","Evidence for a new phase of dense hydrogen above 325 gigapascals","https://www.nature.com/articles/nature16164","Almost 80 years ago it was predicted that, under sufficient compression, the H–H bond in molecular hydrogen (H2) would break, forming a new, atomic, metallic, solid state of hydrogen1. Reaching this predicted state experimentally has been one of the principal goals in high-pressure research for the past 30 years. Here, using in situ high-pressure Raman spectroscopy, we present evidence that at pressures greater than 325 gigapascals at 300 kelvin, H2 and hydrogen deuteride (HD) transform to a new phase—phase V. This new phase of hydrogen is characterized by substantial weakening of the vibrational Raman activity, a change in pressure dependence of the fundamental vibrational frequency and partial loss of the low-frequency excitations. We map out the domain in pressure–temperature space of the suggested phase V in H2 and HD up to 388 gigapascals at 300 kelvin, and up to 465 kelvin at 350 gigapascals; we do not observe phase V in deuterium (D2). However, we show that the transformation to phase IV′ in D2 occurs above 310 gigapascals and 300 kelvin. These values represent the largest known isotropic shift in pressure, and hence the largest possible pressure difference between the H2 and D2 phases, which implies that the appearance of phase V of D2 must occur at a pressure of above 380 gigapascals. These experimental data provide a glimpse of the physical properties of dense hydrogen above 325 gigapascals and constrain the pressure and temperature conditions at which the new phase exists. We speculate that phase V may be the precursor to the non-molecular (atomic and metallic) state of hydrogen that was predicted 80 years ago.","194 Citations"
"1707258438-17","https://www.nature.com/nature/research-articles?year=2016&page=45","NANOG alone induces germ cells in primed epiblast in vitro by activation of enhancers","https://www.nature.com/articles/nature16480","Nanog, a core pluripotency factor in the inner cell mass of blastocysts, is also expressed in unipotent primordial germ cells (PGCs) in mice1, where its precise role is yet unclear2,3,4. We investigated this in an in vitro model, in which naive pluripotent embryonic stem (ES) cells cultured in basic fibroblast growth factor (bFGF) and activin A develop as epiblast-like cells (EpiLCs) and gain competence for a PGC-like fate5. Consequently, bone morphogenetic protein 4 (BMP4), or ectopic expression of key germline transcription factors Prdm1, Prdm14 and Tfap2c, directly induce PGC-like cells (PGCLCs) in EpiLCs, but not in ES cells6,7,8. Here we report an unexpected discovery that Nanog alone can induce PGCLCs in EpiLCs, independently of BMP4. We propose that after the dissolution of the naive ES-cell pluripotency network during establishment of EpiLCs9,10, the epigenome is reset for cell fate determination. Indeed, we found genome-wide changes in NANOG-binding patterns between ES cells and EpiLCs, indicating epigenetic resetting of regulatory elements. Accordingly, we show that NANOG can bind and activate enhancers of Prdm1 and Prdm14 in EpiLCs in vitro; BLIMP1 (encoded by Prdm1) then directly induces Tfap2c. Furthermore, while SOX2 and NANOG promote the pluripotent state in ES cells, they show contrasting roles in EpiLCs, as Sox2 specifically represses PGCLC induction by Nanog. This study demonstrates a broadly applicable mechanistic principle for how cells acquire competence for cell fate determination, resulting in the context-dependent roles of key transcription factors during development.","122 Citations"
"1707258441-18","https://www.nature.com/nature/research-articles?year=2016&page=45","Measurement noise 100 times lower than the quantum-projection limit using entangled atoms","https://www.nature.com/articles/nature16176","Quantum metrology uses quantum entanglement—correlations in the properties of microscopic systems—to improve the statistical precision of physical measurements1. When measuring a signal, such as the phase shift of a light beam or an atomic state, a prominent limitation to achievable precision arises from the noise associated with the counting of uncorrelated probe particles. This noise, commonly referred to as shot noise or projection noise, gives rise to the standard quantum limit (SQL) to phase resolution. However, it can be mitigated down to the fundamental Heisenberg limit by entangling the probe particles. Despite considerable experimental progress in a variety of physical systems, a question that persists is whether these methods can achieve performance levels that compare favourably with optimized conventional (non-entangled) systems. Here we demonstrate an approach that achieves unprecedented levels of metrological improvement using half a million 87Rb atoms in their ‘clock’ states. The ensemble is 20.1 ± 0.3 decibels (100-fold) spin-squeezed via an optical-cavity-based measurement. We directly resolve small microwave-induced rotations 18.5 ± 0.3 decibels (70-fold) beyond the SQL. The single-shot phase resolution of 147 microradians achieved by the apparatus is better than that achieved by the best engineered cold atom sensors despite lower atom numbers2,3. We infer entanglement of more than 680 ± 35 particles in the atomic ensemble. Applications include atomic clocks4, inertial sensors5, and fundamental physics experiments such as tests of general relativity6 or searches for electron electric dipole moment7. To this end, we demonstrate an atomic clock measurement with a quantum enhancement of 10.5 ± 0.3 decibels (11-fold), limited by the phase noise of our microwave source.","305 Citations"
"1707258444-19","https://www.nature.com/nature/research-articles?year=2016&page=45","A lithium–oxygen battery based on lithium superoxide","https://www.nature.com/articles/nature16484","Batteries based on sodium superoxide and on potassium superoxide have recently been reported1,2,3. However, there have been no reports of a battery based on lithium superoxide (LiO2), despite much research4,5,6,7,8 into the lithium–oxygen (Li–O2) battery because of its potential high energy density. Several studies9,10,11,12,13,14,15,16 of Li–O2 batteries have found evidence of LiO2 being formed as one component of the discharge product along with lithium peroxide (Li2O2). In addition, theoretical calculations have indicated that some forms of LiO2 may have a long lifetime17. These studies also suggest that it might be possible to form LiO2 alone for use in a battery. However, solid LiO2 has been difficult to synthesize in pure form18 because it is thermodynamically unstable with respect to disproportionation, giving Li2O2 (refs 19, 20). Here we show that crystalline LiO2 can be stabilized in a Li–O2 battery by using a suitable graphene-based cathode. Various characterization techniques reveal no evidence for the presence of Li2O2. A novel templating growth mechanism involving the use of iridium nanoparticles on the cathode surface may be responsible for the growth of crystalline LiO2. Our results demonstrate that the LiO2 formed in the Li–O2 battery is stable enough for the battery to be repeatedly charged and discharged with a very low charge potential (about 3.2 volts). We anticipate that this discovery will lead to methods of synthesizing and stabilizing LiO2, which could open the way to high-energy-density batteries based on LiO2 as well as to other possible uses of this compound, such as oxygen storage.","588 Citations"
"1707258448-20","https://www.nature.com/nature/research-articles?year=2016&page=45","Divergent clonal selection dominates medulloblastoma at recurrence","https://www.nature.com/articles/nature16478","","221 Citations"
"1707258452-21","https://www.nature.com/nature/research-articles?year=2016&page=45","Diet-induced extinctions in the gut microbiota compound over generations","https://www.nature.com/articles/nature16504","The gut is home to trillions of microorganisms that have fundamental roles in many aspects of human biology, including immune function and metabolism1,2. The reduced diversity of the gut microbiota in Western populations compared to that in populations living traditional lifestyles presents the question of which factors have driven microbiota change during modernization. Microbiota-accessible carbohydrates (MACs) found in dietary fibre have a crucial involvement in shaping this microbial ecosystem, and are notably reduced in the Western diet (high in fat and simple carbohydrates, low in fibre) compared with a more traditional diet3. Here we show that changes in the microbiota of mice consuming a low-MAC diet and harbouring a human microbiota are largely reversible within a single generation. However, over several generations, a low-MAC diet results in a progressive loss of diversity, which is not recoverable after the reintroduction of dietary MACs. To restore the microbiota to its original state requires the administration of missing taxa in combination with dietary MAC consumption. Our data illustrate that taxa driven to low abundance when dietary MACs are scarce are inefficiently transferred to the next generation, and are at increased risk of becoming extinct within an isolated population. As more diseases are linked to the Western microbiota and the microbiota is targeted therapeutically, microbiota reprogramming may need to involve strategies that incorporate dietary MACs as well as taxa not currently present in the Western gut.","992 Citations"
"1707258456-22","https://www.nature.com/nature/research-articles?year=2016&page=45","Motor neurons control locomotor circuit function retrogradely via gap junctions","https://www.nature.com/articles/nature16497","Motor neurons are the final stage of neural processing for the execution of motor behaviours. Traditionally, motor neurons have been viewed as the ‘final common pathway’, serving as passive recipients merely conveying to the muscles the final motor program generated by upstream interneuron circuits1,2. Here we reveal an unforeseen role of motor neurons in controlling the locomotor circuit function via gap junctions in zebrafish. These gap junctions mediate a retrograde analogue propagation of voltage fluctuations from motor neurons to control the synaptic release and recruitment of the upstream V2a interneurons that drive locomotion. Selective inhibition of motor neurons during ongoing locomotion de-recruits V2a interneurons and strongly influences locomotor circuit function. Rather than acting as separate units, gap junctions unite motor neurons and V2a interneurons into functional ensembles endowed with a retrograde analogue computation essential for locomotor rhythm generation. These results show that motor neurons are not a passive recipient of motor commands but an integral component of the neural circuits responsible for motor behaviour.","97 Citations"
"1707258459-23","https://www.nature.com/nature/research-articles?year=2016&page=45","Intestinal epithelial tuft cells initiate type 2 mucosal immunity to helminth parasites","https://www.nature.com/articles/nature16527","Helminth parasitic infections are a major global health and social burden1. The host defence against helminths such as Nippostrongylus brasiliensis is orchestrated by type 2 cell-mediated immunity2. Induction of type 2 cytokines, including interleukins (IL) IL-4 and IL-13, induce goblet cell hyperplasia with mucus production, ultimately resulting in worm expulsion3,4. However, the mechanisms underlying the initiation of type 2 responses remain incompletely understood. Here we show that tuft cells, a rare epithelial cell type in the steady-state intestinal epithelium5, are responsible for initiating type 2 responses to parasites by a cytokine-mediated cellular relay. Tuft cells have a Th2-related gene expression signature6 and we demonstrate that they undergo a rapid and extensive IL-4Rα-dependent amplification following infection with helminth parasites, owing to direct differentiation of epithelial crypt progenitor cells. We find that the Pou2f3 gene is essential for tuft cell specification. Pou2f3−/− mice lack intestinal tuft cells and have defective mucosal type 2 responses to helminth infection; goblet cell hyperplasia is abrogated and worm expulsion is compromised. Notably, IL-4Rα signalling is sufficient to induce expansion of the tuft cell lineage, and ectopic stimulation of this signalling cascade obviates the need for tuft cells in the epithelial cell remodelling of the intestine. Moreover, tuft cells secrete IL-25, thereby regulating type 2 immune responses. Our data reveal a novel function of intestinal epithelial tuft cells and demonstrate a cellular relay required for initiating mucosal type 2 immunity to helminth infection.","547 Citations"
"1707258464-24","https://www.nature.com/nature/research-articles?year=2016&page=45","Eight per cent leakage of Lyman continuum photons from a compact, star-forming dwarf galaxy","https://www.nature.com/articles/nature16456","One of the key questions in observational cosmology is the identification of the sources responsible for ionization of the Universe after the cosmic ‘Dark Ages’, when the baryonic matter was neutral. The currently identified distant galaxies are insufficient to fully reionize the Universe by redshift z ≈ 6 (refs 1, 2, 3), but low-mass, star-forming galaxies are thought to be responsible for the bulk of the ionizing radiation4,5,6. As direct observations at high redshift are difficult for a variety of reasons, one solution is to identify local proxies of this galaxy population. Starburst galaxies at low redshifts, however, generally are opaque to Lyman continuum photons7,8,9. Small escape fractions of about 1 to 3 per cent, insufficient to ionize much surrounding gas, have been detected only in three low-redshift galaxies10,11. Here we report far-ultraviolet observations of the nearby low-mass star-forming galaxy J0925+1403. The galaxy is leaking ionizing radiation with an escape fraction of about 8 per cent. The total number of photons emitted during the starburst phase is sufficient to ionize intergalactic medium material that is about 40 times as massive as the stellar mass of the galaxy.","194 Citations"
"1707258468-25","https://www.nature.com/nature/research-articles?year=2016&page=45","Proton-gated Ca2+-permeable TRP channels damage myelin in conditions mimicking ischaemia","https://www.nature.com/articles/nature16519","The myelin sheaths wrapped around axons by oligodendrocytes are crucial for brain function. In ischaemia myelin is damaged in a Ca2+-dependent manner, abolishing action potential propagation1,2. This has been attributed to glutamate release activating Ca2+-permeable N-methyl-d-aspartate (NMDA) receptors2,3,4. Surprisingly, we now show that NMDA does not raise the intracellular Ca2+ concentration ([Ca2+]i) in mature oligodendrocytes and that, although ischaemia evokes a glutamate-triggered membrane current4, this is generated by a rise of extracellular [K+] and decrease of membrane K+ conductance. Nevertheless, ischaemia raises oligodendrocyte [Ca2+]i, [Mg2+]i and [H+]i, and buffering intracellular pH reduces the [Ca2+]i and [Mg2+]i increases, showing that these are evoked by the rise of [H+]i. The H+-gated [Ca2+]i elevation is mediated by channels with characteristics of TRPA1, being inhibited by ruthenium red, isopentenyl pyrophosphate, HC-030031, A967079 or TRPA1 knockout. TRPA1 block reduces myelin damage in ischaemia. These data suggest that TRPA1-containing ion channels could be a therapeutic target in white matter ischaemia.","117 Citations"
"1707258471-26","https://www.nature.com/nature/research-articles?year=2016&page=45","Earliest hominin occupation of Sulawesi, Indonesia","https://www.nature.com/articles/nature16448","","88 Citations"
"1707258475-27","https://www.nature.com/nature/research-articles?year=2016&page=45","Structures of two distinct conformations of holo-non-ribosomal peptide synthetases","https://www.nature.com/articles/nature16163","Many important natural products are produced by multidomain non-ribosomal peptide synthetases (NRPSs)1,2,3,4. During synthesis, intermediates are covalently bound to integrated carrier domains and transported to neighbouring catalytic domains in an assembly line fashion5. Understanding the structural basis for catalysis with non-ribosomal peptide synthetases will facilitate bioengineering to create novel products. Here we describe the structures of two different holo-non-ribosomal peptide synthetase modules, each revealing a distinct step in the catalytic cycle. One structure depicts the carrier domain cofactor bound to the peptide bond-forming condensation domain, whereas a second structure captures the installation of the amino acid onto the cofactor within the adenylation domain. These structures demonstrate that a conformational change within the adenylation domain guides transfer of intermediates between domains. Furthermore, one structure shows that the condensation and adenylation domains simultaneously adopt their catalytic conformations, increasing the overall efficiency in a revised structural cycle. These structures and the single-particle electron microscopy analysis demonstrate a highly dynamic domain architecture and provide the foundation for understanding the structural mechanisms that could enable engineering of novel non-ribosomal peptide synthetases.","174 Citations"
"1707258478-28","https://www.nature.com/nature/research-articles?year=2016&page=45","Codon influence on protein expression in E. coli correlates with mRNA levels","https://www.nature.com/articles/nature16509","","232 Citations"
"1707258482-29","https://www.nature.com/nature/research-articles?year=2016&page=45","Exposed water ice on the nucleus of comet 67P/Churyumov–Gerasimenko","https://www.nature.com/articles/nature16190","Although water vapour is the main species observed in the coma of comet 67P/Churyumov–Gerasimenko1,2 and water is the major constituent of cometary nuclei3,4, limited evidence for exposed water-ice regions on the surface of the nucleus has been found so far5,6. The absence of large regions of exposed water ice seems a common finding on the surfaces of many of the comets observed so far7,8,9. The nucleus of 67P/Churyumov–Gerasimenko appears to be fairly uniformly coated with dark, dehydrated, refractory and organic-rich material10. Here we report the identification at infrared wavelengths of water ice on two debris falls in the Imhotep region of the nucleus. The ice has been exposed on the walls of elevated structures and at the base of the walls. A quantitative derivation of the abundance of ice in these regions indicates the presence of millimetre-sized pure water-ice grains, considerably larger than in all previous observations6,7,8,9. Although micrometre-sized water-ice grains are the usual result of vapour recondensation in ice-free layers6, the occurrence of millimetre-sized grains of pure ice as observed in the Imhotep debris falls is best explained by grain growth by vapour diffusion in ice-rich layers, or by sintering. As a consequence of these processes, the nucleus can develop an extended and complex coating in which the outer dehydrated crust10 is superimposed on layers enriched in water ice. The stratigraphy observed on 67P/Churyumov–Gerasimenko11,12 is therefore the result of evolutionary processes affecting the uppermost metres of the nucleus and does not necessarily require a global layering to have occurred at the time of the comet’s formation.","94 Citations"
"1707258486-30","https://www.nature.com/nature/research-articles?year=2016&page=45","Synthetic cycle of the initiation module of a formylating nonribosomal peptide synthetase","https://www.nature.com/articles/nature16503","Nonribosomal peptide synthetases (NRPSs) are very large proteins that produce small peptide molecules with wide-ranging biological activities, including environmentally friendly chemicals and many widely used therapeutics1. NRPSs are macromolecular machines, with modular assembly-line logic, a complex catalytic cycle, moving parts and many active sites2,3. In addition to the core domains required to link the substrates, they often include specialized tailoring domains, which introduce chemical modifications and allow the product to access a large expanse of chemical space3,4. It is still unknown how the NRPS tailoring domains are structurally accommodated into megaenzymes or how they have adapted to function in nonribosomal peptide synthesis. Here we present a series of crystal structures of the initiation module of an antibiotic-producing NRPS, linear gramicidin synthetase5,6. This module includes the specialized tailoring formylation domain, and states are captured that represent every major step of the assembly-line synthesis in the initiation module. The transitions between conformations are large in scale, with both the peptidyl carrier protein domain and the adenylation subdomain undergoing huge movements to transport substrate between distal active sites. The structures highlight the great versatility of NRPSs, as small domains repurpose and recycle their limited interfaces to interact with their various binding partners. Understanding tailoring domains is important if NRPSs are to be utilized in the production of novel therapeutics.","111 Citations"
