"Title","Year","Source title","Cited by","Link","Abstract"
"Yang–Mills Theory of Gravity","2019","Physics (Switzerland)","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125601732&doi=10.3390%2fphysics1030025&partnerID=40&md5=ec715465e6ad49e5403f98dcca975c4a","The canonical formulation of general relativity (GR) is based on decomposition space–time manifold M into R×Σ, where represents the time, and is the three-dimensional space-like surface. This decomposition has to preserve the invariance of GR, invariance under general coordinates, and local Lorentz transformations. These symmetries are associated with conserved currents that are coupled to gravity. These symmetries are studied on a three dimensional space-like hypersurface embedded in a four-dimensional space–time manifold. This implies continuous symmetries and conserved currents by Noether’s theorem on that surface. We construct a three-form (D represents covariant exterior derivative) in the phase space on the surface, and derive an equation of continuity on that surface, and search for canonical relations and a Lagrangian that correspond to the same equation of continuity according to the canonical field theory. We find that is a conjugate momentum of and is its energy density. We show that there is conserved spin current that couples to, and show that we have to include the term in GR. Lagrangian, where, and is complex connection. The term includes one variable,, similar to Yang–Mills gauge theory. Finally we couple the connection to a left-handed spinor field, and find the corresponding beta function. © 2019 by the authors."
"Use of continuous infrared temperature image to optimize furnace operations","2019","Glass Technology: European Journal of Glass Science and Technology Part A","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127424186&doi=10.1002%2f9781119519713.ch5&partnerID=40&md5=9384f2988c18117c10fca9b4b3572f0b","Temperature measurement at critical locations in the production process is essential for efficient control and optimization of glass manufacture and processing. An innovative thermal imaging solution for glass furnace applications using a Near Infrared Borescope provides a true-temperature radiometric image, so live temperature values can be obtained from >324,000 pixels and provides continuous coverage 24/7. The solution allows long term data trending for fuel optimization plus enables thermal optical profiles to be measured continuously and specifically during furnace reversal. Example case study shows how a leading container glass manufacturer has used this infrared temperature measurement solution to highlight issues within a glass melt tank, enable them to make necessary repairs and then optimize firing to achieve new record pull rates on an asset nearing the end of its campaign. Alarms and temperature isotherms also provide the manufacturer with long-term asset protection against over-heating and condensation zones. On the firing side, clear correlations have been identified between apparent flame temperatures and corresponding NOx, allowing these findings to be used potentially as part of emission and de-NOx reduction programmes. © 2019, Society of Glass Technology. All rights reserved."
"Distinct Feature of Inverse Square Force and Harmonic Force: A Simplistic Proof of Bertrand's Theorem","2019","The Physics Educator","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117385293&doi=10.1142%2fS2661339519500124&partnerID=40&md5=807797554e81b12c90a378005a41dfa5","Bertrand's theorem is essential to the discussion of the motion of particles under central force. The theorem states that among all central forces, the only two in which bound orbits are also closed orbits are the harmonic force and inverse-square force. As existing proofs of the theorem require advanced mathematics, this paper presents a much more simplistic proof of Bertrand's theorem without having to solve any complicated integrals or using mathematical tools beyond the scope of high school curriculum. The first part of the proof shows that the radial force must be a single power law, and the second part of the proof - which is the main crux of this paper - uses the fact that the radial distance of the motion must be a power of a sinusoidal function of the polar angle in nature. With a simple mathematical manipulation, the proof is then completed. This derivation is expected to be of great interest to high school teachers and students as it enhances the understanding of this distinct feature of inverse square force and harmonic force. © 2019 World Scientific Publishing Company."
"Molecular effects of tobacco smoke and bile reflux in Barrett's esophagus in vitro","2019","Annals of Esophagus","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111048033&doi=10.21037%2faoe.2019.09.01&partnerID=40&md5=ba0157222b9f47b155659af70ac3f5c5","Background: Chronic gastroesophageal-reflux disease creates an environment of high oxidative stress believed to contribute to the carcinogenic transformation from reflux esophagitis to the premalignant condition Barrett's esophagus (BE). BE ultimately progresses to esophageal adenocarcinoma (EAC). The aim of this study was to confirm the molecular effects of tobacco smoke and bile reflux in the molecular carcinogenesis of Barrett's adenocarcinoma. Methods: Tobacco smoke condensate (4,000 ng/mL and dilutions) and a standardized bile acid (0.4 mM) were used to determine effects on a human hTERT-immortalized non-neoplastic Barrett's esophageal cell line (BarT) and a human esophageal squamous cell line (Het-1a). Fourteen clinically relevant genes were evaluated via relative quantification real-time PCR analysis. Results: There was a synergistic relationship regarding the effects of bile acids and smoke condensate on both the BarT and Het-1a cell lines. Genes for inflammatory mediators COX2, IL1β, IL6, and IL8 were significantly up-regulated by combination smoke and bile treatment in both cell lines, while genes vital for cellular protection such as superoxide dismutase genes, MUC family of genes, CDX2 and CYP3A4 had varying expression changes. Conclusions: Tobacco smoke may enhance harmful effects of bile-acid refluxate on esophageal mucosa and is a significant factor in EAC carcinogenesis.  © 2021 Annals of Esophagus."
"The geometry of recombination","2019","Information Geometry","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126540342&doi=10.1007%2fs41884-019-00020-3&partnerID=40&md5=3ae3d7de4e748ee9bb69014b85818d8b","With the tools of information geometry, we can express relations between marginals of a joint distribution in geometric terms. We develop this framework in the context of population genetics and use this to interpret the famous Ohta–Kimura formula (cf. Ohta and Kimura in Genet Res 13(01):47–55, 1969) and discuss its generalizations for linkage equilibria in Wright–Fisher models with recombination with several loci. The state space associated with the Ohta–Kimura model is simply a Riemannian manifold of constant positive curvature. Furthermore, the equilibria states for recombination can be interpreted geometrically as a product of spheres. In the case of only 2 loci, we also derive the behavior of the mutual information between these two loci. © 2019, The Author(s)."
"Implementing assessment methods in primary state schools; [Implementacija dokimoloških rješenja u primarnom obrazovanju državnih škola]","2019","Croatian Journal of Education","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117396882&doi=10.15516%2fCJE.V21I4.3421&partnerID=40&md5=1d7ab900a0f8ca0755c0c20e85f8d60f","The aim of the research was to compare the assessment methods of state schools and those of some alternative schools and examine the opinions and estimates of teachers on the possibility and need to implement assessment methods from some alternative schools into state schools. The purpose of the paper is to enhance existing assessment methods in state schools. The longitudinal research was carried out in five alternative schools and in state schools in the city of Zagreb. Triangulation methodology was applied. Seventeen participants were included in the qualitative phase of the research carried out in 2011 while the sample in the quantitative phase of the research in 2018 comprised 159 participants. The first phase collected data using the case study and interview, while a questionnaire-Assessment models and methods-was developed for the second phase. The research did not show significant differences in opinions between teachers regarding the same assessment methods seven years later. The results show that teachers in alternative schools give a more positive estimate of the possibility and need for implementation. The existing manner of assessment and evaluation in state schools should be modernized with alternative methods such as the yearly report, portfolio and Montessori materials. © 2019, FACTEACHEREDUCATION. All rights reserved."
"Exploring cognitive dissonance on a ski mountaineering traverse: A personal narrative of an expedition to ishinca (5530 m) in peru","2019","Sports","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114943637&doi=10.3390%2fsports7120249&partnerID=40&md5=8e3b37a44ed0b4d3499ff5f9fe9d2f0f","Through a personal narrative account, this paper explores the nature of the author’s cognitive dissonance experienced during a traverse of a high-altitude ski mountaineering objective (Nevado Ishinca 5530 m) in Peru’s Cordillera Blanca. The author experienced psychological discomfort in the ascent and a role of self in determining a continued commitment with the ski mountaineering challenge. Distraction, trivialization, act rationalization and finally attitude change were all used in attempt to reduce negative levels of cognitive dissonance. The lack of consonant cognitions to support abandoning the climb, the notion of free choice, the role of self-concept and self-esteem values motivated continued commitment until the negative levels of arousal subsided. Through a challenging mountaineering experience, I developed a greater self-awareness of the role of commitment to an objective which could be applied to other life events and experiences. © 2019 by the author. Licensee MDPI, Basel, Switzerland."
"The comparison of the relationships about the presence of branch retinal vein occlusion and endothelial functions between diabetic and non-diabetic patients","2019","Cardiovascular Endocrinology and Metabolism","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124430804&doi=10.1097%2fXCE.0000000000000185&partnerID=40&md5=9d6807d08acdcbe40772ea02f878dcba","Objectives The aim of this study was to investigate the endothelial functions in both patients with diabetics and non-diabetics with branch retinal vein occlusion by using pulse wave analysis and flow-mediated dilatation methods. Patients and methods This cross-sectional study included a total of 136 participants (47 diabetic patients with branch retinal vein occlusion, 43 non-diabetic patients with branch retinal vein occlusion, and 46 otherwise healthy subjects). Evaluation of endothelial functions was performed by flow-mediated dilatation and pulse wave analysis methods. Stiffness index, reflection index (RI), and pulse propagation time were calculated. Results The mean stiffness index and RI were significantly higher in the diabetic branch retinal vein occlusion group compared with the non-diabetic branch retinal vein occlusion and the healthy controls (for stiffness index: 11.5 ± 2.8 vs. 10.1 ± 2.5 and 8.3 ± 2.0, P < 0.001; and for RI: 75.1 ± 11.7 vs. 65.4 ± 8.4 and 60.2 ± 18.8, P < 0.001, respectively), whereas the pulse propagation time was significantly lower in the diabetic group (156.4 ± 32.3 vs. 174.4 ± 46.5 and 205.0 ± 58.5, P < 0.001, respectively). There was a significant negative correlation between visual acuity and stiffness index (r = -0.512, P < 0.001). Besides, there was also a significant positive correlation between visual acuity and pulse propagation time (r = 0.398, P < 0.001). Conclusion This study demonstrated that the stiffness index and RI values were higher in patients with branch retinal vein occlusion compared to the healthy subjects.  © 2019 Wolters Kluwer Health, Inc."
"Determination of the Crystallization Temperature of Mullite by Luminescence Spectra of Europium and Chromium Ions","2019","Physics of the Solid State","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110251760&doi=10.1134%2fS1063783419120163&partnerID=40&md5=319215d33e7018077a0305546d85029f","Abstract: The luminescence spectra of Cr3+ and Eu3+ ions embedded in mullite ceramic samples are studied. The samples were annealed at temperatures from 600 to 1200°C. From the temperature of 800°C, the spectra demonstrated the presence of a newly-formed crystal phase. The appearing of the crystalline phase is revealed by significant changes in some parameters of the luminescence spectrum. At temperatures from 920 to 1200°C, the crystalline form manifested itself as a stable mullite phase. © 2019, Pleiades Publishing, Ltd."
"Defining critical limb ischemia","2019","Vascular Disease Management","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111891499&partnerID=40&md5=16a150b65300ee801ab2f89823b5fce4","Objectives: Critical limb ischemia (CLI) is a heterogeneous disease that is not well understood. Current evaluation and treatment paradigms lack rigorous clinical trial data to support their broad application. The recently released Global Vascular Guidelines (GVG) are an overhaul of the conceptualization of CLI. We aim to introduce readers to the important new concepts emanating from these guidelines. The GVG will provide clinicians with a framework for treatment and evaluation, and will provide clinical trialists with systems of classification to aid in the design and execution of future clinical trials involving CLI. Methods: We review the GVG for the evaluation and treatment of patients with CLI. Results: The GVG offer several novel concepts surrounding evaluation of the patient with CLI, as well as offer guidance on potential revascularization strategies for different clinical and anatomic scenarios. Conclusions: The GVG are an importance advance in field of CLI. Ongoing clinical trials will help to validate or refute the hypotheses put forth in the latest guideline document. © 2019 HMP Communications. All rights reserved."
"Cinema | Diptych: Grindhouse | Death Proof","2019","Journal of Cinema and Media Studies","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124348152&doi=10.1353%2fcj.2019.0000&partnerID=40&md5=0115f4f7cf27c7945f14d0e89db2f6b2","The term “diptych” designates visual artworks in two halves that are simultaneously united and separated by a hinging mechanism. This article explores the form’s adoption by narrative film through the double case study of Grindhouse (Quentin Tarantino and Robert Rodríguez, 2007) and Tarantino’s Death Proof, one of Grindhouse’s constituent halves. Considering the diptych’s relevance both to the history of film exhibition and to the logics of revenge and masochism, I argue, first, that the diptych stages especially fruitful encounters between material and narrative concerns and, second, that as a narrative form, the diptych is particularly apt at making ethical paradox accessible. © 2019, University of Texas Press. All rights reserved."
"A sufficient condition for c1-smoothness of the conjugation between piecewise smooth circle homeomorphisms","2019","Annals of Functional Analysis","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110540926&doi=10.1215%2f20088752-2019-0014&partnerID=40&md5=e08594c64e7a520dc83f4c23ab5389f2","Let T1 and T2 be two piecewise smooth circle homeomorphisms with countably many break points and identical irrational rotation number. We provide a sufficient condition for C1-smoothness of the conjugation between T1 and T2 . © 2019 by the Tusi Mathematical Research Group."
"Subcorneal pustulosis: what's in a name","2019","Hong Kong Journal of Dermatology and Venereology","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127451966&partnerID=40&md5=e6c37a7ae80c1b7b59e69baacddfcb58","[No abstract available]"
"Medication error rate in transition of care: General practitioner (gp) referrals to a regional emergency department","2019","Healthcare (Switzerland)","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115105750&doi=10.3390%2fhealthcare7040152&partnerID=40&md5=95dd9434b1fdfa008c584eb2dae4bf3d","Medication errors have a significant impact on patient outcomes, increase healthcare costs, and are a common cause of preventable morbidity. This single-site, observational, diagnostic accuracy study aimed to quantify medication discrepancies in transition of care from primary care to the emergency department (ED) over a 12-month period. Medication lists in General Practitioner (GP) referrals to a regional ED were examined against a Best Possible Medication History (BPMH) performed by a hospital pharmacist. One hundred and forty-three patients (25%) with computer-generated GP referrals to ED who were subsequently admitted to hospital had a BPMH taken; 135 (94%) of these had at least one medication discrepancy identified with a discrepancy rate of 67.18 discrepancies per 100 medications. Improving medication reconciliation in the community may reduce the burden associated with preventable medication errors. Whether this is achieved by more frequent GP-led medication review or community-based pharmacist medication review may depend on the community and available resources. © 2019 by the authors. Licensee MDPI, Basel, Switzerland."
"Ups and Downs of NATO-Russia Relations: a Cognitivist Perspective","2019","Interdisciplinary Political Studies","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116005292&doi=10.1285%2fi20398573v5n2p319&partnerID=40&md5=cd5637ad033fd9a1f9b4225d42c74fa9","This article explains the recursive tendency to develop inimical relations between the North Atlantic Treaty Organization (NATO) and Russia by pointing at the incompatibility of their strategic cultures—here understood as broad cognitive frameworks subsuming an actor's self-perception, worldview, and preferred way to use force. NATO and Russia have defined their roles in world politics, decoded the other's intentions, and undertaken certain practices on the basis of divergent socio-cognitive assumptions. Incompatible strategic cultures bring about clashing grand strategies and generate conflictual relations. The two actors think differently and therefore read and react to a same situation in divergent ways. As a product of socially-embedded dynamics, NATO-Russia enmity cannot be easily overcome - if not in the long term and via sustained interaction. After presenting their theoretical framework, the authors reconstruct NATO's and Russia's strategic cultures, and then discuss the Ukraine crisis as a case study. © 2019 Author. All Rights Reserved."
"Netaji subhas chandra bose: Immortal legend of india’s freedom","2019","IUP Journal of English Studies","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119972750&partnerID=40&md5=f34ae4c674134033a67177d142590f29","Those who create history rarely have the time to record the account of their contribution to it. Despite leading an intensely hectic social and political life right from his early childhood to his alleged death on 18 August 1945, Netaji Subhas Chandra Bose has left behind for posterity voluminous accounts of his experiences as a student, as a social worker, as a philosopher, as a political prisoner, as a member and President of Indian National Congress, and as an undisputed leader of the historic Indian National Army (INA). This paper begins by tracing the influence of cult figures like Rabindranath Tagore, Sri Aurobindo, and Swami Vivekananda on Bose and discusses at length the various aspects of his life, work, and creativity that went into the making of the “Indian Pilgrim,” for whom sacrifice and suffering were pious offerings at the hallowed altar of Mother India. © 2019 IUP. All Rights Reserved."
"Development of self-efficacy scale regarding prospective pre-school teacher toward teaching mathematics","2019","International Journal of Applied Engineering and Technology (London)","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111621543&partnerID=40&md5=b62fb56bd1d777051d5ad9488f3d1d52","The purpose of this study is to develop a scale in order to determine the self-efficacy beliefs of the prospective teachers towards teaching mathematics, who are being educated in pre-school teacher program. After the scale was applied to 113 people for reliability and validity study, it was observed that items are gathered in three dimensions. These were named by researchers as “Preparing and Using Course Materials’', “Negative Self-Efficacy Perception” and “Positive Self-Efficacy Perception”. The reliability of the sub-dimensions was calculated respectively as. 87,. 80 and. 78. As a result of the factor analysis, the reliability of the scale that consists of 22 items, were calculated as. 89. © 2019, Roman Science Publications and Distributions. All rights reserved."
"Ngos and the nigerian screen: The film as a tool","2019","Journal of African Films and Diaspora Studies","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119601813&doi=10.31920%2f2516-2713%2f2019%2fv2n2a3&partnerID=40&md5=d6d9e068852552fbde76f4e9a0c5c46f","According to the Leverhulme project website, ""NGOs as a sector have transcended the categorisations of left and right, progressive and reactionary, and have constructed networks of activism that reach from the face-to-face work of awareness raising groups, to major international lobbying organisations. Look to any major issue of the last sixty years, and NGOs will be there, mobilising supporters, shaping the terms of debate, and influencing policy outcomes."" The story of Stepping Stones Nigeria (SSN), a small UK-based, registered charity who has had a spectacular development and an unusual impact on the Nigerian film industry and child policies, is probably one of the best illustrations of that statement. The article highlights the difficulties associated with crow-cultural activism and the power of Nigerian cinema to denounce societal evils and contribute to children's welfare. © 2019 Adonis and Abbey Publishers Ltd. All Rights Reserved."
"“I don’t have the nerve to tell these people that i cannot help them!”: Vulnerability, ethnography, and good intentions","2019","Societies","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117411412&doi=10.3390%2fsoc9040084&partnerID=40&md5=e5966264cc86917d081855a7af5e1430","The nonprofit organization where this ethnography took place, driven by the maxim ”lending a hand”, was forced to reduce its efforts to what it considered essential, at a time when austerity was beginning to take shape in Portugal. The analysis of the logics employed to distribute food to the neediest proved to be critical to the understanding of the consequences of apparent beneficial actions in this context. The concept of ”vulnerable” is, therefore, discussed considering how it was produced by a legal instrument and how it was reproduced by a local institution, what were the consequences for the subjects involved in this research and also for the vulnerable ethnographer. This investigation was based on several months of intense fieldwork where different ethnographic methodologies were employed in order to grasp the complexities of vulnerability and good intentions, such as participants’ observations and semi-directive interviews. Although this paper focuses on the analysis of the distribution of food support during a later visit to the fieldwork site, it is not the purpose of this paper to discuss issues of food shortage, but to contribute to the debate of care in the context of deprivation and precariousness, anchored in an ethnography where these concepts intertwine with real situations. © 2019 by the author. Licensee MDPI, Basel, Switzerland."
